,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01
平均數(萬元),23,22,24,25,24,25,24,24,24,25,25,25,25
中位數(萬元),21,21,23,23,23,24,23,23,24,23,26,25,24
交易量(棟),335,543,642,593,494,499,365,420,526,550,606,602,683
