,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01
平均數(萬元),55,53,56,58,56,61,59,56,63,57,60,55,58
中位數(萬元),50,46,51,54,54,56,54,50,58,54,56,53,55
交易量(棟),356,393,609,488,460,456,369,380,381,503,485,540,502
