,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01
平均數(萬元),28,27,28,29,28,29,29,32,29,30,30,30,31
中位數(萬元),26,25,27,27,27,27,27,28,28,28,28,29,30
交易量(棟),697,995,1164,1266,1089,1082,811,1136,1031,1219,1176,1367,1407
