,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12
平均數(萬元),14,13,13,13,13,14,13,17,14,13,13,13,14,13,13,14,14,14,14,13,14,13,14,13
中位數(萬元),13,13,13,13,12,14,13,15,12,13,13,12,13,12,13,13,13,13,13,13,14,13,13,12
交易量(棟),110,72,154,174,142,134,147,127,104,142,115,152,104,59,121,122,120,123,149,104,113,118,95,143
