,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
平均數(萬元),53,53,53,54,54,55,55,53,56,55,57,61,56,55,59,58,58,55,57,57,58,69,53,54
中位數(萬元),45,45,49,48,48,50,49,48,53,51,52,56,52,51,52,53,50,48,55,50,52,51,46,47
交易量(棟),882,568,1097,936,843,590,824,837,1028,1038,884,815,678,527,807,614,598,567,513,410,505,503,477,471
