,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01
平均數(萬元),20,22,37,22,22,22,23,23,23,24,39,23,23
中位數(萬元),20,22,23,22,21,21,23,21,23,22,22,22,22
交易量(棟),90,128,143,174,143,127,85,142,116,148,155,140,151
