,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12
平均數(萬元),23,24,24,24,24,25,25,24,25,25,24,25,25,25,25,35,25,25,25,25,25,25,25,25
中位數(萬元),18,19,19,19,18,20,20,19,20,20,19,20,20,20,20,19,20,20,20,21,21,21,21,21
交易量(棟),6277,6289,9484,9467,9978,10021,9224,9258,8707,9856,10996,10882,9662,5913,11295,10700,11394,10783,10750,10322,10042,11008,10198,11068
