,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01
平均數(萬元),65,57,63,63,62,58,67,58,71,67,63,63,58
中位數(萬元),57,50,58,58,57,54,54,52,69,55,56,54,55
交易量(棟),70,103,167,138,121,103,89,117,101,107,130,147,127
