,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12
平均數(萬元),29,29,29,30,30,31,31,30,30,30,32,31,29,31,33,33,34,32,33,33,33,34,33,35
中位數(萬元),24,25,25,25,24,26,26,26,25,25,26,27,24,27,28,29,29,28,28,29,31,30,27,32
交易量(棟),2188,1688,2848,2474,1950,2009,2067,1843,1969,2019,1958,2010,1277,2149,2640,2322,2035,1704,1334,1780,1720,2044,2068,2314
