term,estimate,std.error,statistic,p.value
(Intercept),-76.23129869412902,14.34411445546989,-5.314465311245441,1.4383781484935533e-7
人口淨流入,0.004773921927222811,1.8601488342614924e-4,25.664193312349287,5.685212213728951e-103
CPI,-0.2068986339584865,0.08506473857886891,-2.4322491012731167,0.015254305193086777
年所得,7.192990807817737e-5,1.266113506697432e-6,56.811579449777355,9.3540306244798894e-265
貸款利率,9.246622905710929,1.0588618053716643,8.732605953678092,1.8088205531148e-17
失業率,4.192567407403814,1.8242771673976337,2.2982074666782086,0.021843061101242702
