,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01
平均數(萬元),57,55,57,59,61,59,59,58,58,60,59,59,61
中位數(萬元),56,53,55,57,58,56,56,56,53,57,56,57,58
交易量(棟),157,319,436,430,392,295,243,316,308,385,348,484,415
