,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12
平均數(萬元),48,46,47,47,48,46,48,49,47,48,48,47,51,48,48,51,57,52,51,48,50,48,51,49
中位數(萬元),46,43,45,46,45,44,45,46,44,44,45,44,47,46,46,44,49,47,46,45,46,46,48,47
交易量(棟),278,263,387,400,384,357,353,376,316,370,422,439,416,235,398,421,456,448,403,400,356,433,393,455
