,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01
平均數(萬元),49,48,48,49,48,56,50,55,51,53,51,54,53
中位數(萬元),42,43,44,41,42,47,48,49,48,52,47,48,46
交易量(棟),430,650,674,590,524,487,398,473,437,553,638,684,781
