,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01
平均數(萬元),17,17,17,18,17,18,16,17,18,17,17,18,18
中位數(萬元),16,15,16,16,15,16,15,15,16,15,16,16,16
交易量(棟),167,247,284,242,222,166,122,158,196,208,255,231,275
