,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01
平均數(萬元),47,45,43,44,45,48,46,46,47,49,49,47,48
中位數(萬元),43,40,41,40,42,40,42,42,43,47,45,41,42
交易量(棟),308,396,586,442,432,383,324,384,366,458,438,534,557
