,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12
平均數(萬元),12,13,13,14,12,12,13,13,12,12,12,13,11,12,13,13,12,13,12,13,13,13,13,12
中位數(萬元),12,12,12,13,12,12,12,12,11,11,11,12,10,11,12,12,11,12,11,12,12,12,12,11
交易量(棟),153,97,209,199,203,191,164,167,128,169,146,226,91,61,150,170,170,145,169,124,125,161,161,157
