,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01
平均數(萬元),27,26,27,28,28,29,29,29,30,30,31,30,30
中位數(萬元),25,25,26,27,27,28,28,28,30,30,30,29,29
交易量(棟),831,1285,1799,1676,1568,1669,1283,1653,1525,1678,1589,1615,1749
