時間,FE_係數
2014-01-01,15.278483482896181
2014-02-01,15.284598482778637
2014-03-01,15.715840522090387
2014-04-01,16.311600673268856
2014-05-01,15.971396553551504
2014-06-01,15.740350618461578
2014-07-01,15.032971002209553
2014-08-01,14.217433005612381
2014-09-01,14.838340234957961
2014-11-01,14.025825384369853
2014-12-01,14.518130103619235
2015-01-01,13.883869040792195
2015-02-01,15.07396508902966
2015-03-01,14.559192898303532
2015-04-01,13.837147693377561
2015-05-01,14.738226980462414
2015-06-01,14.876448591496438
2015-07-01,14.362619363769657
2015-08-01,14.870039813065247
2015-09-01,14.018430187948617
2015-11-01,14.91435638524445
2015-12-01,14.724329044870853
2016-01-01,14.640000300457153
2016-02-01,15.316286068061617
2016-03-01,15.669613389774357
2016-04-01,15.31917179834305
2016-05-01,15.83579910139424
2016-06-01,15.63828260386005
2016-07-01,15.6656696256038
2016-08-01,16.0231881270112
2016-09-01,16.116749626546273
2016-11-01,13.185732321846803
2016-12-01,15.677556086048401
2017-01-01,16.094630137895198
2017-02-01,16.724125850222432
2017-03-01,16.058970756560083
2017-04-01,27.613918436614355
2017-05-01,16.143325402340185
2017-06-01,16.340360944826113
2017-07-01,16.102754939575092
2017-08-01,16.3267239646882
2017-09-01,16.400635015164113
2017-11-01,16.85084042489781
2017-12-01,17.098651078766736
2018-01-01,17.033476428103658
2018-02-01,16.789101167428548
2018-03-01,17.12360253444676
2018-04-01,17.761137066842913
2018-05-01,17.581209782454483
2018-06-01,17.621129051348596
2018-07-01,17.98358944785975
2018-08-01,17.938242257721242
2018-09-01,18.47561933565359
2018-11-01,18.138850609127623
2018-12-01,18.121604935302763
2019-01-01,18.300442578452596
2019-02-01,17.967040537255247
2019-03-01,17.976659638193787
2019-04-01,17.913310987728458
2019-05-01,18.421555931389516
2019-06-01,19.043727318215645
2019-07-01,19.370533404483556
2019-08-01,20.215066119623792
2019-09-01,20.025519734296395
2019-11-01,19.75580988288394
2019-12-01,20.619718215628463
2020-01-01,20.661427295808437
2020-02-01,20.646242857898915
2020-03-01,20.806038738181105
2020-04-01,20.92083096764421
2020-05-01,20.615461734896083
2020-06-01,20.650296621865674
2020-07-01,20.71629239199723
2020-08-01,21.893540069696193
2020-09-01,22.49967510831511
2020-11-01,22.85870518272639
2020-12-01,23.698497055261214
2021-01-01,24.985564336748084
2021-02-01,24.15944532911852
2021-03-01,24.928468101892584
2021-04-01,24.889235911636938
2021-05-01,25.750327221963747
2021-06-01,25.464814561866817
2021-07-01,24.919907034843092
2021-08-01,25.139341340942877
2021-09-01,25.316863850097008
2021-11-01,24.688742295047664
2021-12-01,25.079584110419518
2022-01-01,25.56580503089286
2022-02-01,25.10352564814389
2022-03-01,26.426415386172742
2022-04-01,27.398519993451576
2022-05-01,26.752190854483125
2022-06-01,28.24064793335711
2022-07-01,27.613117333151223
2022-08-01,28.45799358761053
2022-09-01,28.22131360768552
2022-11-01,28.584809693246967
2022-12-01,28.61401053538063
2023-01-01,14.634103898095475
2023-02-01,15.834103898095442
2023-03-01,15.634103898095415
2023-04-01,14.834103898095496
2023-05-01,16.63410389809534
2023-06-01,16.034103898095477
2023-07-01,15.518961019573641
2023-08-01,15.518961019573702
2023-09-01,16.31896101957374
2023-11-01,16.118961019573725
2023-12-01,16.603818141051995
